blockSize,capacity,deviceId,expansionLimits,filesystemId,freeCapacity,isConfigTransferEnabled,isConfigTransferEnabledValid,isDedupeEnabled,isDedupeSupported,isLogicalCapacityValid,isLogicalFreeCapacityValid,isNDMPRecoveryTarget,isNonStrictWORM,isObjectReplicationTarget,isReadCached,isReadOnly,isSysLocked,isThinProvisioningEnabled,isThinProvisioningEnabledValid,isTiered,isTransferRawXVLsEnabled,isTransferRawXVLsEnabledValid,isTrueSparseFileEnabled,isTrueSparseFileEnabledValid,isUnlimitedExpansion,isWORM,label,logicalCapacity,logicalFreeCapacity,objectId,status,storagePoolId,tierInformation,usedCapacity,usedSnapshotCapacity,virtualServerId,thresholds.liveReset,thresholds.liveSevere,thresholds.liveWarning,thresholds.snapshotReset,thresholds.snapshotSevere,thresholds.snapshotWarning,thresholds.stopGrowingAtSevereLevel,thresholds.totalReset,thresholds.totalSevere,thresholds.totalWarning
4096,212491829248,1045,214748364800,B659C106703489890000000000000000,163183423488,False,True,False,True,True,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,HNCL03_TSVM_LABESXI,0,0,42363539433130363730333438393839303030303030303030303030303030303a3a3a303a3a3a4f49445f24232140255f56,NOT_MOUNTED,13146964770464328353,[],49308405760,0,5,,,,,,,,,,
4096,2021335760896,1093,16492674416640,B660362B4A15A6EC0000000000000000,990338404352,False,True,True,True,True,True,False,False,False,False,False,False,False,True,False,False,True,True,True,False,False,HNCL03_TSVM_DTS015,2021335760896,990338404352,42363630333632423441313541364543303030303030303030303030303030303a3a3a303a3a3a4f49445f24232140255f56,MOUNTED,13146620376781498893,[],1030997356544,0,5,80.0,97.0,90.0,80.0,97.0,90.0,False,90.0,97.0,95.0
4096,11107733340160,1092,16492674416640,B660383F498178000000000000000000,1606008860672,False,True,True,True,True,True,False,False,False,False,False,False,False,True,False,False,True,True,True,False,False,HNCL03_TSVM_DTS014,11107733340160,1606008860672,42363630333833463439383137383030303030303030303030303030303030303a3a3a303a3a3a4f49445f24232140255f56,MOUNTED,13146620376781498893,[],9501724479488,0,5,80.0,97.0,90.0,80.0,97.0,90.0,False,90.0,97.0,95.0
4096,6025511960576,1094,10995116277760,B660E8F42319E59F0000000000000000,1553488846848,False,True,True,True,True,True,False,False,False,False,False,False,False,True,False,False,True,True,True,False,False,HNCL03_TSVM_DTS016,6025511960576,1553488846848,42363630453846343233313945353946303030303030303030303030303030303a3a3a303a3a3a4f49445f24232140255f56,MOUNTED,13146620376781498893,[],4472023113728,0,5,80.0,97.0,90.0,80.0,97.0,90.0,False,90.0,97.0,95.0
4096,19886109622272,1095,21990232555520,B660E8F89BF708890000000000000000,5034722779136,False,True,True,True,True,True,False,False,False,False,False,False,False,True,False,False,True,True,True,False,False,HNCL03_TSVM_DTS017,19886109622272,5034722779136,42363630453846383942463730383839303030303030303030303030303030303a3a3a303a3a3a4f49445f24232140255f56,MOUNTED,13146620376781498893,[],14851386843136,0,5,80.0,97.0,90.0,80.0,97.0,90.0,False,90.0,97.0,95.0
4096,1867329306624,1102,4398046511104,B661391589D435970000000000000000,359386304512,True,True,True,True,True,True,False,False,False,False,False,False,False,True,False,False,True,True,True,False,False,HNCL03_TSVM_ISO001,1867329306624,359386304512,42363631333931353839443433353937303030303030303030303030303030303a3a3a303a3a3a4f49445f24232140255f56,MOUNTED,13146620376781498893,[],1507943002112,0,5,80.0,97.0,90.0,80.0,97.0,90.0,False,90.0,97.0,95.0
4096,18192038625280,1096,24189255811072,B6613BC9727478570000000000000000,3312674963456,True,True,True,True,True,True,False,False,False,False,False,False,False,True,False,False,True,True,True,False,False,BRADLEGADO_INTF_T3,18192038625280,3312674963456,42363631334243393732373437383537303030303030303030303030303030303a3a3a303a3a3a4f49445f24232140255f56,MOUNTED,13146620376781498893,[],14879363661824,0,9,80.0,97.0,90.0,80.0,97.0,90.0,False,90.0,97.0,95.0
4096,1520812687360,1099,1539316278886,B6613BD2DB5678810000000000000000,144910548992,True,True,False,True,True,True,False,False,False,False,False,False,False,True,False,False,True,True,True,False,False,PLANEMPRESARIO_INTF_T2,1520812687360,144910548992,42363631334244324442353637383831303030303030303030303030303030303a3a3a303a3a3a4f49445f24232140255f56,MOUNTED,13146620376781498893,[],1375902138368,0,9,80.0,97.0,90.0,80.0,97.0,90.0,False,90.0,97.0,95.0
4096,1309050667008,1100,1319413953331,B6613BD34BF322430000000000000000,146046255104,True,True,True,True,True,True,False,False,False,False,False,False,False,True,False,False,True,True,True,False,False,AMORTIZACAO_INTF_T1,1309050667008,146046255104,42363631334244333442463332323433303030303030303030303030303030303a3a3a303a3a3a4f49445f24232140255f56,MOUNTED,13146620376781498893,[],1163004411904,0,9,80.0,97.0,90.0,80.0,97.0,90.0,False,90.0,97.0,95.0
4096,385011941376,1098,1099511627776,B6613BD462737AFE0000000000000000,68672430080,True,True,False,True,True,True,False,False,False,False,False,False,False,True,False,False,True,True,True,False,False,BRADESTEIRACOMPLETA_INTF_T3,385011941376,68672430080,42363631334244343632373337414645303030303030303030303030303030303a3a3a303a3a3a4f49445f24232140255f56,MOUNTED,13146620376781498893,[],316339511296,0,9,80.0,97.0,90.0,80.0,97.0,90.0,False,90.0,97.0,95.0
4096,21965200949248,1097,21990232555520,B6613BD7F20A737D0000000000000000,1576239460352,True,True,True,True,True,True,False,False,False,False,False,False,False,True,False,False,True,True,True,False,False,BRADNEW_INTF_T1,21965200949248,1576239460352,42363631334244374632304137333744303030303030303030303030303030303a3a3a303a3a3a4f49445f24232140255f56,MOUNTED,13146620376781498893,[],20388961488896,0,9,80.0,97.0,90.0,80.0,97.0,90.0,False,90.0,97.0,95.0
4096,3676903047168,1104,10995116277760,B6614E84DD35E1890000000000000000,999974817792,False,True,True,True,True,True,False,False,False,False,False,False,False,True,False,False,True,True,True,False,False,HNCL03_TSVM_DTS019,3676903047168,999974817792,42363631344538344444333545313839303030303030303030303030303030303a3a3a303a3a3a4f49445f24232140255f56,MOUNTED,13146620376781498893,[],2676928229376,0,5,80.0,97.0,90.0,80.0,97.0,90.0,False,90.0,97.0,95.0
4096,19886109622272,1103,21990232555520,B6614E86C72958560000000000000000,3636476059648,False,True,True,True,True,True,False,False,False,False,False,False,False,True,False,False,True,True,True,False,False,HNCL03_TSVM_DTS018,19886109622272,3636476059648,42363631344538364337323935383536303030303030303030303030303030303a3a3a303a3a3a4f49445f24232140255f56,MOUNTED,13146620376781498893,[],16249633562624,0,5,80.0,97.0,90.0,80.0,97.0,90.0,False,90.0,97.0,95.0
4096,3676903047168,1065,16492674416640,B66212205B69B02C0000000000000000,957215145984,False,True,True,True,True,True,False,False,False,False,False,False,False,True,False,False,True,True,True,False,False,HNCL03_TSVM_DTS011,3676903047168,957215145984,42363632313232303542363942303243303030303030303030303030303030303a3a3a303a3a3a4f49445f24232140255f56,MOUNTED,13146620376781498893,[],2719687901184,0,5,80.0,97.0,90.0,80.0,97.0,90.0,False,90.0,97.0,95.0
4096,5255471300608,1064,16492674416640,B662122792626C9C0000000000000000,1541055225856,False,True,True,True,True,True,False,False,False,False,False,False,False,True,False,False,True,True,True,False,False,HNCL03_TSVM_DTS010,5255471300608,1541055225856,42363632313232373932363236433943303030303030303030303030303030303a3a3a303a3a3a4f49445f24232140255f56,MOUNTED,13146620376781498893,[],3714416074752,0,5,80.0,97.0,90.0,80.0,97.0,90.0,False,90.0,97.0,95.0
4096,4639445483520,1067,16492674416640,B662122ACFE29AB10000000000000000,1929766481920,False,True,True,True,True,True,False,False,False,False,False,False,False,True,False,False,True,True,True,False,False,HNCL03_TSVM_DTS013,4639445483520,1929766481920,42363632313232414346453239414231303030303030303030303030303030303a3a3a303a3a3a4f49445f24232140255f56,MOUNTED,13146620376781498893,[],2709679001600,0,5,80.0,97.0,90.0,80.0,97.0,90.0,False,90.0,97.0,95.0
4096,5717499052032,1066,16492674416640,B662122C37B57D450000000000000000,3034463821824,False,True,True,True,True,True,False,False,False,False,False,False,False,True,False,False,True,True,True,False,False,HNCL03_TSVM_DTS012,5717499052032,3034463821824,42363632313232433337423537443435303030303030303030303030303030303a3a3a303a3a3a4f49445f24232140255f56,MOUNTED,13146620376781498893,[],2683035230208,0,5,80.0,97.0,90.0,80.0,97.0,90.0,False,90.0,97.0,95.0
4096,3368890138624,1059,16492674416640,B662124A8E764C680000000000000000,901084393472,False,True,True,True,True,True,False,False,False,False,False,False,False,True,False,False,True,True,True,False,False,HNCL03_TSVM_DTS005,3368890138624,901084393472,42363632313234413845373634433638303030303030303030303030303030303a3a3a303a3a3a4f49445f24232140255f56,MOUNTED,13146620376781498893,[],2467805745152,0,5,80.0,97.0,90.0,80.0,97.0,90.0,False,90.0,97.0,95.0
4096,4408439996416,1061,16492674416640,B66212525B9D45660000000000000000,1362826792960,False,True,True,True,True,True,False,False,False,False,False,False,False,True,False,False,True,True,True,False,False,HNCL03_TSVM_DTS007,4408439996416,1362826792960,42363632313235323542394434353636303030303030303030303030303030303a3a3a303a3a3a4f49445f24232140255f56,MOUNTED,13146620376781498893,[],3045613203456,0,5,80.0,97.0,90.0,80.0,97.0,90.0,False,90.0,97.0,95.0
4096,4639445483520,1060,16492674416640,B6621256E82A9F470000000000000000,959282241536,False,True,True,True,True,True,False,False,False,False,False,False,False,True,False,False,True,True,True,False,False,HNCL03_TSVM_DTS006,4639445483520,959282241536,42363632313235364538324139463437303030303030303030303030303030303a3a3a303a3a3a4f49445f24232140255f56,MOUNTED,13146620376781498893,[],3680163241984,0,5,80.0,97.0,90.0,80.0,97.0,90.0,False,90.0,97.0,95.0
4096,9105641046016,1063,16492674416640,B662125AE0C310FE0000000000000000,4025414107136,False,True,True,True,True,True,False,False,False,False,False,False,False,True,False,False,True,True,True,False,False,HNCL03_TSVM_DTS009,9105641046016,4025414107136,42363632313235414530433331304645303030303030303030303030303030303a3a3a303a3a3a4f49445f24232140255f56,MOUNTED,13146620376781498893,[],5080226938880,0,5,80.0,97.0,90.0,80.0,97.0,90.0,False,90.0,97.0,95.0
